13923,1765387598,1765483668,"CRASH"
13924,1765485182,1765488229,"CRASH"
13925,1765488924,1765490173,""
13926,1765491002,1765621331,""
13927,1765623013,1765625058,""
13928,1765625857,1765754826,"CRASH"
13929,1765755942,1765756345,"CRASH"
13930,1765758062,1765792036,""
13931,1765793029,1765802363,""
13932,1765803223,1765806439,"CRASH"
13933,1765807348,1765855830,"CRASH"
13934,1765856882,1765951684,"CRASH"
13935,1765952421,1765952532,"CRASH"
13936,1765953318,1765957981,"CRASH"
13937,1765958796,1765976646,""
13938,1765977558,1765980407,""
13939,1765983834,1765990981,""
13940,1765991826,1765992026,""
13941,1765992489,1765992793,""
13942,1765995402,1765995496,""
13943,1765996611,1765996929,""
13944,1765998104,1765998546,""
13945,1765999214,1766008170,""
13946,1766009198,1766009324,"CRASH"
13947,1766010203,1766015012,""
13948,1766017533,1766017672,""
13949,1766018634,1766023098,""
13950,1766023916,1766037750,"CRASH"
13951,1766038486,1766054565,"CRASH"
13952,1766055337,1766064640,""
13953,1766071367,1766169493,""
13954,1766173246,1766173580,""
13955,1766174592,1766175155,"CRASH"
13956,1766175830,1766204116,""
13957,1766204930,1766205360,""
13958,1766206730,1766214406,""
13959,1766215138,1766245983,""
13960,1766246865,1766252622,"CRASH"
13961,1766254022,1766277245,"CRASH"
13962,1766278118,1766323369,""
13963,1766324187,1766345669,""
13964,1766346515,1766533161,""
13965,1766534027,1766536261,""
13966,1766539540,1766540879,""
13967,1766542228,1766835690,"CRASH"
13968,1766837654,1766837767,"CRASH"
13969,1766839255,1766840483,"CRASH"
13970,1766842514,1766963534,"CRASH"
13971,1766964612,1766996672,""
13972,1766999579,1767003687,""
13973,1767004710,1767018034,""
13975,1767023019,1767023135,"CRASH"
13976,1767023408,1767023459,""
13977,1767026840,1767026952,"CRASH"
13978,1767028549,1767028661,"CRASH"
13979,1767029150,1767029236,""
13980,1767029820,1767030120,"CRASH"
13981,1767031366,1767081322,"CRASH"
13982,1767082623,1767120511,"CRASH"
13983,1767122740,1767235613,"CRASH"
13984,1767236438,1767620580,"CRASH"
13985,1767621514,1767624756,""
13986,1767628090,1767822710,""
13987,1767824157,1767882995,""
13988,1767886826,1767887270,""
13989,1767890405,1767893536,""
13990,1767894442,1767991114,""
13991,1767991889,1767995001,""
13992,1767995696,1768167888,""
13993,1768169257,1768230439,""
13994,1768231540,1768261326,"CRASH"
13995,1768262413,1768263465,""
13996,1768264261,1768344796,"CRASH"
13997,1768345941,1768432455,"CRASH"
13998,1768433583,1768439461,"CRASH"
13999,1768440432,1768443173,"CRASH"
14000,1768444415,1768492335,""
14001,1768493702,1768599346,""
14002,1768600448,1768721826,""
14003,1768722875,1768752952,""
14004,1768753729,1768818913,""
14005,1768819691,1768829084,""
14006,1768829902,1768896283,""
14007,1768896983,1768935764,""
14008,1768938591,1768949574,""
14009,1768950496,1769022294,""
14010,1769023035,1769026939,""
14011,1769027637,1769101627,""
14012,1769102186,1769103163,""
14013,1769103442,1769103531,""
14014,1769103845,1769104252,""
14015,1769105017,1769105138,""
14016,1769105522,1769105763,""
14017,1769116398,1769534303,""
14018,1769535008,1769536977,""
14019,1769539425,1769539831,"CRASH"
14020,1769540092,1769540287,""
14021,1769547434,1769548448,""
